id,syllabus_name,question_type,question,answer,answer_span_1,answer_span_2,answer_span_3,answer_span_4,answer_span_5,reasoning_step_1,reasoning_step_2,reasoning_step_3,reasoning_step_4,reasoning_step_5
N7BWLQ4aRwj9snMa,EME6651-SP2023_Syllabus,yes/no,"Does the following honor pledge apply to this class: ""On my honor, I have neither given nor received unauthorized aid in doing this assignment""?",Yes,"UF students are bound by The Honor Pledge which states, “We, the members of the University of Florida community,	
pledge to hold ourselves and our peers to the highest standards of honor and integrity by abiding by the Honor Code.	
On	all	work	submitted	for	credit	by	students	at	the	University	of	Florida,	the	following	pledge	is	either	required	or	
implied:	“On	my	honor,	 I	have	neither	given	nor	received	unauthorized	aid	in	doing	this	assignment.”",,,,,,,,,
PrteEIvvuXMCHLt4,FS542_food chem2,multi factual,How often will there be quizzes?,There will be a total of 4 online quizzes for this course.,Online quizzes: there will be 4 online quizzes on moodle,Online quiz-1 9/26,Online quiz-2 10/17,Online quiz-3 11/21,Online quiz-4 12/5,,,,,
0BLtgmE0gtSQq1P4,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus,multi factual,What are the expectations for classroom engagement and absences in the course?,"Active classroom engagement and participation are expected. Students should attend class, participate in discussions, and come prepared with questions. Absences may be excused or unexcused, with deductions for unexcused absences.","Attendance should be regular, with prompt communication for missed assignments and discussions. Unexcused absences will result in point deductions.","Active class engagement and consistent participation are expected, with points awarded based on the level of involvement",,,,,,,,
lIj6sXsXp8UyK8ai,151 syllabus fall 2022 Rounds,multi reasoning,"If I have an 84% average across all the exams, the discussion sections, and the quizzes, would not participating in the Clicker impact my overall grade","No, getting no credit for Clicker participation would not impact your overall grade.",,,,,,"Having an 84% average on the 2 exams is worth 40% of the overall grade, so that is worth 33.6% (84 x 0.4 = 33.6)","The 84% on the Final is worth 24% of the overall grade, so that is worth 20.16% (84 x 0.24 = 20.16)","Having and 84% average on the discussion assignments is worth 20% of the overall grade, so that is worth 16.8% (84 x 0.2 = 16.8)","Having and 84% average across all the quizzes is worth 15% of the overall grade, so that is worth 12.6% (84 x .15 = 12.6)","Adding up all the totals = 83.16% (33.6 + 20.16 + 16.8 + 12.6), which is still a B"
h0ZaW2yq5SGBbxyv,vsyllabus 2022,yes/no,Will I fail the course if I copy and submit someone else's work?,Yes,"However, direct copying of someone else’s work is not allowed. Printing out
someone else’s computer output, and handing it in as your own work, is also not allowed. Passing off
someone else’s work as your own will result in failing this course",,,,,,,,,
QKNGGynCIopPVCAZ,advanced_system_software_design_redacted,summarization,What support is available to me in this class?,"We want students to succeed in this hard time. Reach out to the professor with any concerns or questions. There are also health, mental health, and disability services available on campus that we encourage everyone to use.  ","You are not alone at UMass - many people
care about your wellbeing and many resources are available to help you thrive and succeed.",". Reflect on your role in taking care of yourself throughout the term, before the demands
of exams and projects reach their peak. Please feel free to reach out to me about any difficulty you
may be having that may impact your performance as soon as it occurs and before it becomes too
overwhelming. I encourage you to contact support services on campus that stand ready to assist
you. Please reach out to me for support finding the resources you need.","The University is committed to making reason-able, effective and appropriate
accommodations to meet the needs of students with disabilities and help create a barrier-free
campus. If you have a qualifying disability and require accommodations while participating in
this course, please work with Disability Services to have an accommodation letter sent to me in
a timely manner.","Finally, beyond disability accommodations, if there are aspects of the course
that prevent you from learning or make you feel excluded, please let me know as soon as possible.",,,,,,
k7WMC2E9XxN35wHT,Acct 371 Syllabus - Spring,multi reasoning,"What percentage of the grade do the exams, pre-class quizzes, and quizzes make up?","The exams, pre-class quizzes, and quizzes will make up 65% of your grade.",,,,,,There are three exams that are each weighted as 15% of the grade.,The three exams will make up 45% of the grade in total.,Pre-class quizzes are 10% of the grade in total.,Quizzes are 10% of the grade in total.,
MVZvBNavIZsfnV6s,Syllabus.Astron101.summer2023,single reasoning,Can I make up the midterm if I'm absent during the third week?,"The midterm will be online the third week, but is due by the end of the course on August 25th.",,,,,,"The midterm is made available during the third week, but can be completed online and turned in by the end of the",,,,
GjiTuDP2KLgKPPN9,Syllabus. Multivariable Calculus,multi reasoning,I have an accommodation can I use a calculator on the exam?,"Calculators are not normally allowed on exams, if you have an accommodation on file, you will need to work with the Disabilities office to schedule your exam and see if your accommodation can be met. ",,,,,,Calculators are not allowed on exams. ,Students with eligible disabilities on file can have reasonable accommodations.,accommodations are scheduled through the disabilities office,,
0eTMQsuc8wLVFnqU,130 syllabus_2 S 2023,single reasoning,Can I pass the course if I won't disclose what I eat?,It is possible to get 94% in the course without disclosing what is eaten.,,,,,,"6% of the grade is based on a Food Intake Analysis. If all other requirements are met successfully, a possible grade of 94% is possible.",,,,
