id,syllabus_name,question_type,question,answer,answer_span_1,answer_span_2,answer_span_3,answer_span_4,answer_span_5,reasoning_step_1,reasoning_step_2,reasoning_step_3,reasoning_step_4,reasoning_step_5
L3E5hG4K9T5IbohB,MKTG 497G Customer Insight Syllabus S2023,single factual,Where can I access the UMass Coronavirus Plans and Announcements?,This information can be accessed at the following web address:  https://www.umass.edu/coronavirus/,• UMass Coronavirus Plans and Announcements: https://www.umass.edu/coronavirus/,,,,,,,,,
LYeuG5mfckL4nI3Q,MKTG 497G Customer Insight Syllabus S2023,multi factual,"Do we need to complete any group work, and if so how are we graded?","Yes, you are required to complete  one group project. You are graded based on five criteria:Group project plan (10 pts), Data collection and analysis report (50 pts), Customer journey map (80 pts), Executive summary (80 pts), andClass presentation (80 pts) 
","The culmination of the course will be a group research project. I will form teams based on
student interests and experience in an effort to create well-rounded groups. Each project will
involve identifying a research problem, proposing specific research questions, collecting and
analyzing qualitative data, and creating actionable insights","1. Group project plan (10 pts)
2. Data collection and analysis report (50 pts)
3. Customer journey map (80 pts)
4. Executive summary (80 pts)
5. Class presentation (80 pts) 
",,,,,,,,
EKJBbbYSy5IVmAko,MKTG 497G Customer Insight Syllabus S2023,summarization,What are the main course objectives?,"The class is intended to help students develop thinking processes and research tools that can be applied in the future in any profession or industry. The course will help you practice become a marketing professional. The class is organized around three main points, observing, connecting, and communicating. We will also undertake various exercises to build and hone practical skills, like fieldwork, interviews, an analyzing qualitative data.","Course Objectives:
My goal is to help you learn and develop a set of research tools and a way of thinking that you
can apply in any position and any industry. During the course, you will practice becoming
marketing professionals who are curious, aware, empathetic, and responsive toward your
customers. The class is structured around the development of three primary capacities:","Observing: Be curious, ask good questions, identify research problems, collect quality
data, dig for hidden observations, and expand your awareness of people and the market. 
Connecting: Find patterns across observations and understand what those patterns mean.
 Communicating: Explain insight","Alongside these capacities, students will also develop the following practical skills:
• Think culturally, using your theoretical understanding to identify and explain insights
• Conduct observational and ethnographic fieldwork, including writing detailed fieldnotes
• Conduct focus groups and in-depth consumer interviews
• Conduct online social listening and netnographic research
• Analyze open-ended qualitative data using interpretive coding
• Create customer personas and customer journey maps",,,,,,,
e6Ez3cqDJOiOyEMP,BIOCHEM 320 Syllabus SP23 2 Feb 2023,single reasoning,"If I sign up for the class on Feb 13, will the days that I've missed count against my attendance?",No,,,,,,"Attendance starts being counted on that week, so as long as you start right away, it should not be counted against you.",,,,
8TdL6E9YZlH7Ldpy,BIOCHEM 320 Syllabus SP23 2 Feb 2023,summarization,What are the administrative details of the homework assignments?,"There are 13 homework assignments that start Week 1 and end Week 13, and are all available through Pearson’s web-based app called Mastering Chemistry. Each assignment will be available Tuesday morning and due at 11:59 pm the following Sunday. You can attempt each assignment five times and Mastering Chemistry will keep your highest score. Your total homework grade will be calculated by averaging your highest 10 homework scores.",These homework assignments will be available through Pearson’s web-based app called Mastering Chemistry.,There are 13 assignments and they start Week 1 and end Week 13.,Each one will be available Tuesday morning and due at 11:59 pm the following Sunday.,You will have five attempts to complete the assignment and Mastering Chemistry will keep your highest score.,"At the end of the semester, I will calculate your grade by averaging your highest 10 homework scores.",,,,,
a01Jb56qWTf4fJir,BIOCHEM 320 Syllabus SP23 2 Feb 2023,multi reasoning,I am unable to purchase access to the Mastering Chemistry app and will not be able to complete the homework assignments. Will it be possible for me to earn an A- for this course?,"Yes, you can earn an A- for the course if you are unable to complete the homework assignments. Since homework assignments are worth 10% of your total grade, you will have to earn a perfect score on all other components of the course to earn an A- (90%) for the course.",,,,,,Homework assignments are worth 10% of your total grade.,"Assuming a perfect score on all other components of the course, the maximum score possible is 90%.",You need to earn at least 90% of the total points to earn an A- for the course.,,
Qi0o2agy9UVdGkzx,PH224_Syllabus_Spring23,single reasoning,Will material from the first half of the semester be on the final exam?,"The exams are cumulative, so there will be some material from the first half of the semester on the final exam, though the final will focus more on the material from the second half of the semester.",,,,,,The exams are cumulative with the final exam focusing mostly on material from the second half of the semester.,,,,
rDMuiwbHi1Cpbx08,PH224_Syllabus_Spring23,yes/no,Does this class have an online hub for us.,Yes,"3-Credit, Moodle-Supported Course
SPIRE course ID:",,,,,,,,,
7CyqRG9eAP7cXdt1,PH224_Syllabus_Spring23,yes/no,Will this course be taught online?,No,"This course will be
taught in-person for
Spring 2023:
• T/Th 11:30-12:45 PM
• Herter Hall, room 227",,,,,,,,,
7078eKPG1l46e6Ih,FIN 408 Syllabus updated v2,single factual,What programming language is used for this course?,R programming is used as part of this course.,"We will use R for our data exercise. You could use the following link to download R on your
computer.
Installing R: https://rstudio-education.github.io/hopr/starting.html",,,,,,,,,
Pbjm6Q32NlTg8Ij4,FIN 408 Syllabus updated v2,multi factual,What is involved in group assignments and how many are in a group?,"Group projects are encouraged to be done in groups of four or five. You can form your own
groups, or I will assign you to groups randomly. Group assignments include solving three cases and one problem set with data analysis. ","Group projects are encouraged to be done in groups of four or five. You can form your own
groups, or I will assign you to groups randomly.",Group assignments include solving three cases and one problem set with data analysis. ,,,,,,,,
5EkIAk4OJ4Q07kl3,FIN 408 Syllabus updated v2,summarization,How is class attendance evaluated in FINANCE 408?,"In FINANCE 408, attendance in all classes is expected. Any need for absences should be pre-requested by email to the instructor. Additionally, class participation is evaluated and contributes to the final grade.",Attendance in all classes is expected.,Absences should be pre-requested by email to the instructor.,Class participation is also evaluated and contributes to the final grade.,,"In FINANCE 408, attendance in all classes is expected. Any need for absences should be pre-requested by email to the instructor. Additionally, class participation is evaluated and contributes to the final grade.",,,,,
j4kSqdCsAHohSP7v,stat-111-syl-spring 2023,multi factual,What are the prerequisites for taking STAT 111 Elementary Statistics?,This four-credit course satisfies the R2 general education requirements for graduation.,"To enroll in STAT 111 Elementary Statistics, students are required to have completed advanced algebra and geometry.","The course is highly computational and involves some algebraic concepts. If students are uncertain about their preparation, they are advised to consider taking Math 100.","The course is highly computational, and some algebra is required. Students who are unsure of their preparation should consider taking Math 100.

","The course covers sampling methods, types of studies, critical reading of statistics in the news, graphical representation of data, central tendency and variability, normal distribution, the basics of probability, correlation versus causation, sampling distributions, confidence interval estimation and margin of error, and hypothesis testing.",Stat 111 is intended for students who have completed advanced algebra and geometry.,,,,,
dVKb4MrSjvbOKHG7,stat-111-syl-spring 2023,yes/no,"Is there any makeup for quizzes in the course schedule if I miss the quizzes?
",No,There are no make-up quizzes for students who miss quizzes due to conflicts or emergencies.,,,,,,,,,
wsRPtnLPsLl4qxKA,stat-111-syl-spring 2023,yes/no,Is this course fully in-person?,Yes,There is no hybrid or asynchronous learning option.,,,,,,,,,
5rNEyoA7OJpOSMYN,CS Syllabus for 568,single factual,What is the policy for late assignment in this course,Late assignment will be rejected,Late assignment will not be accepted,,,,,,,,,
crzMd0XTBgkuN9n1,CS Syllabus for 568,multi reasoning,If I miss four classes will I still be able to make an A in this course?,"No, if you miss four classes your best possible sore is a C. ",,,,,,"If you miss more than two classes, your grade will drop by a letter grade.",If you miss more than four classes it will go down two grades.,,,
